,año,equiponac,jugador,club,pais_club
4415,1999,Uruguay,Marcelo Otero,Sevilla FC,España
4416,1999,Uruguay,Federico Magallanes,Defensor SC,Uruguay
4417,1999,Uruguay,Diego Alonso,Gim. La Plata,Argentina
4418,1999,Uruguay,Juan González,Oviedo,España
4419,1999,Uruguay,Horacio Peralta,Danubio,Uruguay
4420,1999,Uruguay,Gabriel Alvez,Nacional,Uruguay
4421,1999,Uruguay,Ruben Da Silva,Estudiantes,Mexico
4422,2000,Uruguay,Fabián Carini,Danubio,Uruguay
4423,2000,Uruguay,Luis Diego López,Cagliari,Italia
4424,2000,Uruguay,Adrián Romero,Cerro,Uruguay
4425,2000,Uruguay,Paolo Montero,Juventus,Italia
4426,2000,Uruguay,Gonzalo Sorondo,Defensor SC,Uruguay
4427,2000,Uruguay,Alejandro Lembo,Nacional,Uruguay
4428,2000,Uruguay,Damián Rodríguez,Nacional,Uruguay
4429,2000,Uruguay,Leonardo Ramos,River Plate,Argentina
4430,2000,Uruguay,Darío Rodríguez,Peñarol,Uruguay
4431,2000,Uruguay,Tabaré,Sevilla FC,España
4432,2000,Uruguay,Gustavo Méndez,Torino,Italia
4433,2000,Uruguay,Washington Tais,Santander,España
4434,2000,Uruguay,Pablo García,Atlético,España
4435,2000,Uruguay,G.  De los Santos,Málaga,España
4436,2000,Uruguay,Andrés Fleurquin,Sturm Graz,Austria
4437,2000,Uruguay,Christian Callejas,Danubio,Uruguay
4438,2000,Uruguay,Fabián Coelho,Nacional,Uruguay
4439,2000,Uruguay,Gianni Guigou,Nacional,Uruguay
4440,2000,Uruguay,Mario Regueiro,Santander,España
4441,2000,Uruguay,N. G.  Cedrés,Peñarol,Uruguay
4442,2000,Uruguay,Gustavo Varela,Nacional,Uruguay
4443,2000,Uruguay,Guillermo Giacomazzi,Peñarol,Uruguay
4444,2000,Uruguay,Fabián O'Neill,Cagliari,Italia
4445,2000,Uruguay,Gustavo Poyet,Chelsea,Inglaterra
4446,2000,Uruguay,Nicolás Olivera,Sevilla FC,España
4447,2000,Uruguay,Alvaro Recoba,Inter,Italia
4448,2000,Uruguay,Federico Magallanes,Defensor SC,Uruguay
4449,2000,Uruguay,José María Franco,Peñarol,Uruguay
4450,2000,Uruguay,Marcelo Otero,Sevilla FC,España
4451,2000,Uruguay,Diego Alonso,Gim. La Plata,Argentina
4452,2000,Uruguay,Darío Silva,Málaga,España
4453,2000,Uruguay,Sebastián Abreu,San Lorenzo,Argentina
4454,2000,Uruguay,Marcelo Zalayeta,Sevilla FC,España
4455,2000,Uruguay,Ruben Da Silva,Nacional,Uruguay
4456,2000,Uruguay,Gabriel Alvez,Nacional,Uruguay
4457,2001,Uruguay,Adrián Berbia,Peñarol,Uruguay
4458,2001,Uruguay,Fabián Carini,Juventus,Italia
4459,2001,Uruguay,Gustavo Munúa,Nacional,Uruguay
4460,2001,Uruguay,Adrián Romero,Cerro,Uruguay
4461,2001,Uruguay,Damián Rodríguez,Nacional,Uruguay
4462,2001,Uruguay,Paolo Montero,Juventus,Italia
4463,2001,Uruguay,Gonzalo Sorondo,Defensor SC,Uruguay
4464,2001,Uruguay,Joe Emerson Bizera,Peñarol,Uruguay
4465,2001,Uruguay,Alejandro Lembo,Nacional,Uruguay
4466,2001,Uruguay,Carlos Gutiérrez,River Plate,Argentina
4467,2001,Uruguay,Darío Rodríguez,Peñarol,Uruguay
4468,2001,Uruguay,Alejandro Curbelo,Wanderers,Uruguay
4469,2001,Uruguay,Gustavo Méndez,Torino,Italia
4470,2001,Uruguay,Washington Tais,Betis,España
4471,2001,Uruguay,Carlos Richard Díaz,Defensor SC,Uruguay
4472,2001,Uruguay,Jorge Anchén,Danubio,Uruguay
4473,2001,Uruguay,Pablo Lima,Danubio,Uruguay
4474,2001,Uruguay,Claudio Dadomo,Wanderers,Uruguay
4475,2001,Uruguay,G.  De los Santos,Málaga,España
4476,2001,Uruguay,Andrés Fleurquin,Sturm Graz,Austria
4477,2001,Uruguay,Pablo García,AC Milán,Italia
4478,2001,Uruguay,Sebastián Eguren,Wanderers,Uruguay
4479,2001,Uruguay,Christian Callejas,Danubio,Uruguay
4480,2001,Uruguay,A. J.  Martínez,Defensor SC,Uruguay
4481,2001,Uruguay,Rodrigo Lemos,Bella Vista,Uruguay
4482,2001,Uruguay,Diego Pérez,Defensor SC,Uruguay
4483,2001,Uruguay,Gianni Guigou,AS Roma,Italia
4484,2001,Uruguay,Nicolás Olivera,Sevilla FC,España
4485,2001,Uruguay,Mario Regueiro,Santander,España
4486,2001,Uruguay,Vicente Sánchez,Toluca,Mexico
4487,2001,Uruguay,Fabián Canobbio,Peñarol,Uruguay
4488,2001,Uruguay,Gustavo Varela,Nacional,Uruguay
4489,2001,Uruguay,Guillermo Giacomazzi,Lecce,Italia
4490,2001,Uruguay,Fabián O'Neill,Juventus,Italia
4491,2001,Uruguay,Alvaro Recoba,Inter,Italia
4492,2001,Uruguay,Rubén Olivera,Danubio,Uruguay
4493,2001,Uruguay,Marcelo Zalayeta,Sevilla FC,España
4494,2001,Uruguay,Diego Alonso,Atlético,España
4495,2001,Uruguay,C. M.  Morales,Toluca,Mexico
4496,2001,Uruguay,Javier Chevantón,Lecce,Italia
4497,2001,Uruguay,Walter Pandiani,Depor,España
4498,2001,Uruguay,Darío Silva,Málaga,España
4499,2001,Uruguay,Federico Magallanes,Santander,España
4500,2001,Uruguay,Richard Morales,Nacional,Uruguay
4501,2001,Uruguay,Fabián Estoyanoff,Fénix,Uruguay
4502,2001,Uruguay,Walter Guglielmone,Wanderers,Uruguay
4503,2002,Uruguay,Fabián Carini,Juventus,Italia
4504,2002,Uruguay,Gustavo Munúa,Nacional,Uruguay
4505,2002,Uruguay,Federico Elduayen,Peñarol,Uruguay
4506,2002,Uruguay,Joe Emerson Bizera,Peñarol,Uruguay
4507,2002,Uruguay,Paolo Montero,Juventus,Italia
4508,2002,Uruguay,Cristian González,Defensor SC,Uruguay
4509,2002,Uruguay,Gonzalo Sorondo,Inter,Italia
4510,2002,Uruguay,Adrián Romero,Cerro,Uruguay
4511,2002,Uruguay,Damián Rodríguez,Nacional,Uruguay
4512,2002,Uruguay,Alejandro Lembo,Nacional,Uruguay
4513,2002,Uruguay,Darío Rodríguez,Peñarol,Uruguay
4514,2002,Uruguay,Gustavo Méndez,Nacional,Uruguay
4515,2002,Uruguay,Washington Tais,Betis,España
4516,2002,Uruguay,Jorge Anchén,Danubio,Uruguay
4517,2002,Uruguay,Pablo Lima,Danubio,Uruguay
4518,2002,Uruguay,Pablo García,Venezia,Italia
4519,2002,Uruguay,G.  De los Santos,Valencia CF,España
4520,2002,Uruguay,Ó. J.  Morales,Nacional,Uruguay
4521,2002,Uruguay,Marcelo Romero,Málaga,España
4522,2002,Uruguay,Sebastián Eguren,Danubio,Uruguay
4523,2002,Uruguay,Marcelo Broli,Fénix,Uruguay
4524,2002,Uruguay,Diego Pérez,Defensor SC,Uruguay
4525,2002,Uruguay,Gianni Guigou,AS Roma,Italia
4526,2002,Uruguay,Ronald Ramírez,Wanderers,Uruguay
4527,2002,Uruguay,Nicolás Olivera,Sevilla FC,España
4528,2002,Uruguay,Mario Regueiro,Santander,España
4529,2002,Uruguay,Fabián Canobbio,Peñarol,Uruguay
4530,2002,Uruguay,Martín Ligüera,Fénix,Uruguay
4531,2002,Uruguay,Gustavo Varela,Nacional,Uruguay
4532,2002,Uruguay,Fabián O'Neill,Perugia,Italia
4533,2002,Uruguay,Alvaro Recoba,Inter,Italia
4534,2002,Uruguay,Diego Forlán,Man United,Inglaterra
4535,2002,Uruguay,Rubén Olivera,Danubio,Uruguay
4536,2002,Uruguay,Richard Morales,Nacional,Uruguay
4537,2002,Uruguay,Germán Hornos,Fénix,Uruguay
4538,2002,Uruguay,Sebastián Abreu,Cruz Azul,Mexico
4539,2002,Uruguay,Gonzalo Vargas,Defensor SC,Uruguay
4540,2002,Uruguay,Darío Silva,Málaga,España
4541,2002,Uruguay,Federico Magallanes,Venezia,Italia
4542,2003,Uruguay,Luis Barbat,Danubio,Uruguay
4543,2003,Uruguay,I.  De León Jacué,Fénix,Uruguay
4544,2003,Uruguay,Mauricio Nanni,Wanderers,Uruguay
4545,2003,Uruguay,Fabián Carini,Standard,Belgica
4546,2003,Uruguay,Gustavo Munúa,Depor,España
4547,2003,Uruguay,Joe Emerson Bizera,Peñarol,Uruguay
4548,2003,Uruguay,Williams Martínez,Defensor SC,Uruguay
4549,2003,Uruguay,Adrián Romero,Cerro,Uruguay
4550,2003,Uruguay,Pablo Melo,Cerro,Uruguay
4551,2003,Uruguay,Cono Aguiar,Fénix,Uruguay
4552,2003,Uruguay,Alejandro Lago,Peñarol,Uruguay
4553,2003,Uruguay,Luis Diego López,Cagliari,Italia
4554,2003,Uruguay,Cristian González,Las Palmas,España
4555,2003,Uruguay,Alejandro Lembo,Nacional,Uruguay
4556,2003,Uruguay,Diego Lugano,SPFC,Brasil
4557,2003,Uruguay,Gonzalo Sorondo,Standard,Belgica
4558,2003,Uruguay,Darío Rodríguez,Schalke 04,Alemania
4559,2003,Uruguay,Bruno Silva,Danubio,Uruguay
4560,2003,Uruguay,Carlos Diogo,River Plate,Argentina
4561,2003,Uruguay,Claudio Dadomo,Nacional,Uruguay
4562,2003,Uruguay,Pablo Lima,Danubio,Uruguay
4563,2003,Uruguay,Julio Mozzo,Central Español,Uruguay
4564,2003,Uruguay,Juan Ramón Curbelo,Fénix,Uruguay
4565,2003,Uruguay,Marcelo Romero,Málaga,España
4566,2003,Uruguay,J. P.  Rodríguez,Nacional,Uruguay
4567,2003,Uruguay,Marcelo Broli,Fénix,Uruguay
4568,2003,Uruguay,Sebastián Eguren,Nacional,Uruguay
4569,2003,Uruguay,Marcelo Sosa,Danubio,Uruguay
4570,2003,Uruguay,Nelson Abeijón,Como,Italia
4571,2003,Uruguay,Gianni Guigou,Siena,Italia
4572,2003,Uruguay,Pablo Munhoz,Defensor SC,Uruguay
4573,2003,Uruguay,Mario Regueiro,Santander,España
4574,2003,Uruguay,Jorge Martínez,Wanderers,Uruguay
4575,2003,Uruguay,Cristian Rodríguez,Peñarol,Uruguay
4576,2003,Uruguay,Vicente Sánchez,Toluca,Mexico
4577,2003,Uruguay,Mario Leguizamón,Plaza Colonia,Uruguay
4578,2003,Uruguay,Martín Ligüera,Real Mallorca,España
4579,2003,Uruguay,Guillermo Giacomazzi,Lecce,Italia
4580,2003,Uruguay,Alvaro Recoba,Inter,Italia
4581,2003,Uruguay,Diego Forlán,Man United,Inglaterra
4582,2003,Uruguay,Rubén Olivera,Juventus,Italia
4583,2003,Uruguay,Sebastián Abreu,Nacional,Uruguay
4584,2003,Uruguay,Walter Pandiani,Depor,España
4585,2003,Uruguay,Javier Chevantón,Lecce,Italia
4586,2003,Uruguay,Carlos Bueno,Peñarol,Uruguay
4587,2003,Uruguay,Marcelo Zalayeta,Juventus,Italia
4588,2003,Uruguay,Germán Hornos,Sevilla FC,España
4589,2003,Uruguay,Sebastián Taborda,Defensor SC,Uruguay
4590,2003,Uruguay,Fabián Estoyanoff,Peñarol,Uruguay
4591,2003,Uruguay,Richard Núñez,Grasshops,Suiza
4592,2003,Uruguay,Diego Perrone,Atlas,Mexico
4593,2003,Uruguay,Nicolás Vigneri,Fénix,Uruguay
4594,2003,Uruguay,Sergio Blanco,Wanderers,Uruguay
4595,2003,Uruguay,Horacio Peralta,Nacional,Uruguay
4596,2004,Uruguay,Gustavo Munúa,Depor,España
4597,2004,Uruguay,Sebastián Viera,Nacional,Uruguay
4598,2004,Uruguay,Luis Barbat,Danubio,Uruguay
4599,2004,Uruguay,Adrián Romero,Nacional,Uruguay
4600,2004,Uruguay,Marcelo De Souza,Velez Sarsfield,Argentina
4601,2004,Uruguay,Gonzalo Sorondo,Standard,Belgica
4602,2004,Uruguay,Pablo Melo,Cerro,Uruguay
4603,2004,Uruguay,Paolo Montero,Juventus,Italia
4604,2004,Uruguay,Luis Diego López,Cagliari,Italia
4605,2004,Uruguay,Alejandro Lago,Fénix,Uruguay
4606,2004,Uruguay,Cristian González,Las Palmas,España
4607,2004,Uruguay,Joe Emerson Bizera,Peñarol,Uruguay
4608,2004,Uruguay,Alejandro Lembo,Betis,España
4609,2004,Uruguay,Diego Lugano,SPFC,Brasil
4610,2004,Uruguay,Jorge Curbelo,Danubio,Uruguay
4611,2004,Uruguay,Darío Rodríguez,Schalke 04,Alemania
4612,2004,Uruguay,Guillermo Rodríguez,Danubio,Uruguay
4613,2004,Uruguay,Carlos Diogo,Peñarol,Uruguay
4614,2004,Uruguay,Pablo Lima,Danubio,Uruguay
4615,2004,Uruguay,G.  De los Santos,Atlético,España
4616,2004,Uruguay,Javier Delgado,Saturn,Rusia
4617,2004,Uruguay,Pablo García,Osasuna,España
4618,2004,Uruguay,Marcelo Romero,Málaga,España
4619,2004,Uruguay,Omar Pouso,Danubio,Uruguay
4620,2004,Uruguay,Juan Martín Parodi,Panionios,Grecia
4621,2004,Uruguay,Marcelo Sosa,Spartak,Rusia
4622,2004,Uruguay,Diego Pérez,Peñarol,Uruguay
4623,2004,Uruguay,Gianni Guigou,Siena,Italia
4624,2004,Uruguay,Cristian Rodríguez,Peñarol,Uruguay
4625,2004,Uruguay,Mario Regueiro,Santander,España
4626,2004,Uruguay,Vicente Sánchez,Toluca,Mexico
4627,2004,Uruguay,Jorge Martínez,Wanderers,Uruguay
4628,2004,Uruguay,Fabián Canobbio,Valencia CF,España
4629,2004,Uruguay,Martín Ligüera,Grasshops,Suiza
4630,2004,Uruguay,Antonio Pacheco,Albacete,España
4631,2004,Uruguay,Gustavo Varela,Schalke 04,Alemania
4632,2004,Uruguay,Alvaro Recoba,Inter,Italia
4633,2004,Uruguay,Diego Forlán,Man United,Inglaterra
4634,2004,Uruguay,Rubén Olivera,Atlético,España
4635,2004,Uruguay,Carlos Bueno,Peñarol,Uruguay
4636,2004,Uruguay,Richard Morales,Osasuna,España
4637,2004,Uruguay,Walter Pandiani,Depor,España
4638,2004,Uruguay,Javier Chevantón,Lecce,Italia
4639,2004,Uruguay,Darío Silva,Sevilla FC,España
4640,2004,Uruguay,Fernando Correa,Real Mallorca,España
4641,2004,Uruguay,Marcelo Zalayeta,Perugia,Italia
4642,2004,Uruguay,Germán Hornos,Sevilla FC,España
4643,2004,Uruguay,Fabián Estoyanoff,Fénix,Uruguay
4644,2004,Uruguay,Richard Núñez,Grasshops,Suiza
4645,2005,Uruguay,Fabián Carini,Cagliari,Italia
4646,2005,Uruguay,Sebastián Viera,Nacional,Uruguay
4647,2005,Uruguay,Alvaro Núñez,Numancia,España
4648,2005,Uruguay,Sergio Navarro,Miramar,Uruguay
4649,2005,Uruguay,Luis Diego López,Cagliari,Italia
4650,2005,Uruguay,Paolo Montero,Juventus,Italia
4651,2005,Uruguay,Pablo Melo,Danubio,Uruguay
4652,2005,Uruguay,Diego Lugano,SPFC,Brasil
4653,2005,Uruguay,Gonzalo Sorondo,Charlton,Inglaterra
4654,2005,Uruguay,Carlos García,Liverpool,Inglaterra
4655,2005,Uruguay,Darío Rodríguez,Schalke 04,Alemania
4656,2005,Uruguay,Guillermo Rodríguez,Atlas,Mexico
4657,2005,Uruguay,Diego Godín,Cerro,Uruguay
4658,2005,Uruguay,Carlos Diogo,River Plate,Argentina
4659,2005,Uruguay,Maxi Pereira,Defensor SC,Uruguay
4660,2005,Uruguay,Pablo Lima,Danubio,Uruguay
4661,2005,Uruguay,Pablo García,Osasuna,España
4662,2005,Uruguay,G.  De los Santos,Real Mallorca,España
4663,2005,Uruguay,Javier Delgado,Saturn,Rusia
4664,2005,Uruguay,Ó. J.  Morales,Valladolid,España
4665,2005,Uruguay,Omar Pouso,Danubio,Uruguay
4666,2005,Uruguay,Marcelo Tejera,Peñarol,Uruguay
4667,2005,Uruguay,Marcelo Sosa,Atlético,España
4668,2005,Uruguay,Diego Pérez,Monaco,Francia
4669,2005,Uruguay,Sebastián Vázquez,Nacional,Uruguay
4670,2005,Uruguay,Vicente Sánchez,Toluca,Mexico
4671,2005,Uruguay,Mario Regueiro,Santander,España
4672,2005,Uruguay,Gonzalo Castro,Nacional,Uruguay
4673,2005,Uruguay,Martín Ligüera,San Luis,Mexico
4674,2005,Uruguay,Fabián Estoyanoff,Fénix,Uruguay
4675,2005,Uruguay,Gustavo Varela,Schalke 04,Alemania
4676,2005,Uruguay,Alvaro Recoba,Inter,Italia
4677,2005,Uruguay,Diego Forlán,Villarreal,España
4678,2005,Uruguay,Rubén Olivera,Juventus,Italia
4679,2005,Uruguay,Sebastián Abreu,Sinaloa,Mexico
4680,2005,Uruguay,Darío Silva,Portsmouth,Inglaterra
4681,2005,Uruguay,Richard Morales,Osasuna,España
4682,2005,Uruguay,Javier Chevantón,Monaco,Francia
4683,2005,Uruguay,Marcelo Zalayeta,Juventus,Italia
4684,2005,Uruguay,Pablo Granoche,Toluca,Mexico
4685,2005,Uruguay,Richard Núñez,Cruz Azul,Mexico
4686,2005,Uruguay,Sergio Blanco,Wanderers,Uruguay
4687,2006,Uruguay,Sebastián Viera,Villarreal,España
4688,2006,Uruguay,Fabián Carini,Cagliari,Italia
4689,2006,Uruguay,Diego Lugano,SPFC,Brasil
4690,2006,Uruguay,Luis Diego López,Cagliari,Italia
4691,2006,Uruguay,Ignacio Ithurralde,Defensor SC,Uruguay
4692,2006,Uruguay,Carlos Valdez,Treviso,Italia
4693,2006,Uruguay,Andrés Scotti,Rubin Kazan,Rusia
4694,2006,Uruguay,Mauricio Victorino,Veracruz,Mexico
4695,2006,Uruguay,Darío Rodríguez,Schalke 04,Alemania
4696,2006,Uruguay,Diego Godín,Cerro,Uruguay
4697,2006,Uruguay,Gonzalo Lemes,Central Español,Uruguay
4698,2006,Uruguay,Jorge Fucile,Liverpool,Inglaterra
4699,2006,Uruguay,Carlos Diogo,Real Madrid,España
4700,2006,Uruguay,Maxi Pereira,Defensor SC,Uruguay
4701,2006,Uruguay,Jorge García,Danubio,Uruguay
4702,2006,Uruguay,Walter López,River Plate,Argentina
4703,2006,Uruguay,Gastón Filgueira,Central Español,Uruguay
4704,2006,Uruguay,Pablo Lima,Danubio,Uruguay
4705,2006,Uruguay,Walter Gargano,Danubio,Uruguay
4706,2006,Uruguay,Pablo García,Real Madrid,España
4707,2006,Uruguay,E.  Arévalo Ríos,Peñarol,Uruguay
4708,2006,Uruguay,Carlos Grossmüller,Danubio,Uruguay
4709,2006,Uruguay,Omar Pouso,Peñarol,Uruguay
4710,2006,Uruguay,Diego Pérez,Monaco,Francia
4711,2006,Uruguay,Álvaro González,Defensor SC,Uruguay
4712,2006,Uruguay,Vicente Sánchez,Toluca,Mexico
4713,2006,Uruguay,Fabián Estoyanoff,Cádiz,España
4714,2006,Uruguay,Mario Regueiro,Valencia CF,España
4715,2006,Uruguay,Jorge Martínez,Nacional,Uruguay
4716,2006,Uruguay,Nicolás Olivera,Defensor SC,Uruguay
4717,2006,Uruguay,Gonzalo Castro,Nacional,Uruguay
4718,2006,Uruguay,Fabián Canobbio,Celta,España
4719,2006,Uruguay,Gustavo Varela,Schalke 04,Alemania
4720,2006,Uruguay,Juan Ignacio Surraco,Central Español,Uruguay
4721,2006,Uruguay,Ignacio González,Danubio,Uruguay
4722,2006,Uruguay,Guillermo Giacomazzi,Lecce,Italia
4723,2006,Uruguay,Mauro Vila,Defensor SC,Uruguay
4724,2006,Uruguay,Diego Forlán,Villarreal,España
4725,2006,Uruguay,Sebastián Abreu,Sinaloa,Mexico
4726,2006,Uruguay,Alexander Medina,Cádiz,España
4727,2006,Uruguay,Diego Vera,Bella Vista,Uruguay
4728,2006,Uruguay,Gonzalo Vargas,Gim. La Plata,Argentina
4729,2006,Uruguay,Nicolás Vigneri,Peñarol,Uruguay
4730,2006,Uruguay,Sergio Blanco,Wanderers,Uruguay
4731,2006,Uruguay,S.  Fernández,Miramar,Uruguay
4732,2007,Uruguay,Fabián Carini,Inter,Italia
4733,2007,Uruguay,Juan Castillo,Peñarol,Uruguay
4734,2007,Uruguay,Ignacio Ithurralde,Defensor SC,Uruguay
4735,2007,Uruguay,Carlos Valdez,Treviso,Italia
4736,2007,Uruguay,Diego Lugano,Fenerbahçe,Turquia
4737,2007,Uruguay,Andrés Scotti,Argentinos,Argentina
4738,2007,Uruguay,Darío Rodríguez,Schalke 04,Alemania
4739,2007,Uruguay,Diego Godín,Nacional,Uruguay
4740,2007,Uruguay,Martín Cáceres,Recreativo,España
4741,2007,Uruguay,Jorge Fucile,FC Porto,Portugal
4742,2007,Uruguay,Carlos Diogo,Saragosse,España
4743,2007,Uruguay,Pablo Alvarez,Reggina,Italia
4744,2007,Uruguay,Maxi Pereira,Defensor SC,Uruguay
4745,2007,Uruguay,Pablo Lima,Danubio,Uruguay
4746,2007,Uruguay,Pablo Castro,Bella Vista,Uruguay
4747,2007,Uruguay,Julio Mozzo,Peñarol,Uruguay
4748,2007,Uruguay,Walter Gargano,Danubio,Uruguay
4749,2007,Uruguay,Pablo García,Celta,España
4750,2007,Uruguay,E.  Arévalo Ríos,Peñarol,Uruguay
4751,2007,Uruguay,Omar Pouso,Charlton,Inglaterra
4752,2007,Uruguay,Leandro Ezquerra,River Plate,Argentina
4753,2007,Uruguay,Diego Pérez,Monaco,Francia
4754,2007,Uruguay,Álvaro González,Defensor SC,Uruguay
4755,2007,Uruguay,Fabián Estoyanoff,Depor,España
4756,2007,Uruguay,Vicente Sánchez,Toluca,Mexico
4757,2007,Uruguay,Cristian Rodríguez,Paris S-G,Francia
4758,2007,Uruguay,Mario Regueiro,Murcia,España
4759,2007,Uruguay,Fabián Canobbio,Celta,España
4760,2007,Uruguay,Guillermo Giacomazzi,Palermo,Italia
4761,2007,Uruguay,Ignacio González,Danubio,Uruguay
4762,2007,Uruguay,Alvaro Recoba,Inter,Italia
4763,2007,Uruguay,Diego Forlán,Villarreal,España
4764,2007,Uruguay,Diego Ifrán,Fénix,Uruguay
4765,2007,Uruguay,Sebastián Abreu,San Luis,Mexico
4766,2007,Uruguay,Diego Vera,Nacional,Uruguay
4767,2007,Uruguay,Gonzalo Vargas,Monaco,Francia
4768,2007,Uruguay,Carlos Bueno,Sporting,España
4769,2007,Uruguay,Luis Suárez,FC Groningen,Paises Bajos
4770,2007,Uruguay,Nicolás Vigneri,Peñarol,Uruguay
4771,2008,Uruguay,Fabián Carini,Murcia,España
4772,2008,Uruguay,Juan Castillo,Botafogo,Brasil
4773,2008,Uruguay,Carlos Valdez,Reggina,Italia
4774,2008,Uruguay,Diego Lugano,Fenerbahçe,Turquia
4775,2008,Uruguay,Andrés Scotti,Argentinos,Argentina
4776,2008,Uruguay,Diego Godín,Villarreal,España
4777,2008,Uruguay,Martín Cáceres,Barça,España
4778,2008,Uruguay,Gerardo Alcoba,Peñarol,Uruguay
4779,2008,Uruguay,Jorge Fucile,FC Porto,Portugal
4780,2008,Uruguay,Bruno Silva,Ajax,Paises Bajos
4781,2008,Uruguay,Maxi Pereira,Benfica,Portugal
4782,2008,Uruguay,Alvaro Pereira,Cluj,Rumania
4783,2008,Uruguay,Walter Gargano,Napoli,Italia
4784,2008,Uruguay,Diego Arismendi,Nacional,Uruguay
4785,2008,Uruguay,Sebastián Eguren,Villarreal,España
4786,2008,Uruguay,Mathias Cardaccio,AC Milán,Italia
4787,2008,Uruguay,Diego Pérez,Monaco,Francia
4788,2008,Uruguay,Robert Flores,River Plate,Argentina
4789,2008,Uruguay,Jorge Rodríguez,River Plate,Argentina
4790,2008,Uruguay,Álvaro González,Boca Juniors,Argentina
4791,2008,Uruguay,Cristian Rodríguez,Benfica,Portugal
4792,2008,Uruguay,Vicente Sánchez,Schalke 04,Alemania
4793,2008,Uruguay,Ignacio González,Monaco,Francia
4794,2008,Uruguay,Diego Forlán,Atlético,España
4795,2008,Uruguay,Javier Chevantón,Sevilla FC,España
4796,2008,Uruguay,Sebastián Abreu,River Plate,Argentina
4797,2008,Uruguay,Carlos Bueno,Peñarol,Uruguay
4798,2008,Uruguay,Henry Giménez,River Plate,Argentina
4799,2008,Uruguay,Edinson Cavani,Palermo,Italia
4800,2008,Uruguay,Luis Suárez,Ajax,Paises Bajos
4801,2008,Uruguay,S.  Fernández,Defensor SC,Uruguay
4802,2009,Uruguay,Fernando Muslera,Lazio,Italia
4803,2009,Uruguay,Fabián Carini,Murcia,España
4804,2009,Uruguay,Martín Silva,Defensor SC,Uruguay
4805,2009,Uruguay,Sebastián Viera,Villarreal,España
4806,2009,Uruguay,Juan Castillo,Botafogo,Brasil
4807,2009,Uruguay,Andrés Scotti,Argentinos,Argentina
4808,2009,Uruguay,Carlos Valdez,Reggina,Italia
4809,2009,Uruguay,Diego Lugano,Fenerbahçe,Turquia
4810,2009,Uruguay,Mauricio Victorino,Univ. de Chile,Chile
4811,2009,Uruguay,Diego Godín,Villarreal,España
4812,2009,Uruguay,Martín Cáceres,Barça,España
4813,2009,Uruguay,Jorge Fucile,FC Porto,Portugal
4814,2009,Uruguay,Bruno Silva,Ajax,Paises Bajos
4815,2009,Uruguay,Maxi Pereira,Benfica,Portugal
4816,2009,Uruguay,Alvaro Pereira,Cluj,Rumania
4817,2009,Uruguay,Walter Gargano,Napoli,Italia
4818,2009,Uruguay,Sebastián Eguren,Villarreal,España
4819,2009,Uruguay,Diego Pérez,Monaco,Francia
4820,2009,Uruguay,Miguel Amado,Defensor SC,Uruguay
4821,2009,Uruguay,Jorge Rodríguez,River Plate,Argentina
4822,2009,Uruguay,Alvaro Fernández,Nacional,Uruguay
4823,2009,Uruguay,Álvaro González,Nacional,Uruguay
4824,2009,Uruguay,Jorge Martínez,Catania,Italia
4825,2009,Uruguay,Cristian Rodríguez,FC Porto,Portugal
4826,2009,Uruguay,Nicolás Lodeiro,Nacional,Uruguay
4827,2009,Uruguay,Diego Forlán,Atlético,España
4828,2009,Uruguay,Sebastián Abreu,R. Sociedad,España
4829,2009,Uruguay,Luis Suárez,Ajax,Paises Bajos
4830,2009,Uruguay,Edinson Cavani,Palermo,Italia
4831,2009,Uruguay,H. R.  López,Velez Sarsfield,Argentina
4832,2009,Uruguay,S.  Fernández,Banfield,Argentina
4833,2010,Uruguay,Fernando Muslera,Lazio,Italia
4834,2010,Uruguay,Juan Castillo,Dep. Cali,Colombia
4835,2010,Uruguay,Andrés Scotti,Colo Colo,Chile
4836,2010,Uruguay,Carlos Valdez,Reggina,Italia
4837,2010,Uruguay,Diego Lugano,Fenerbahçe,Turquia
4838,2010,Uruguay,Mauricio Victorino,Univ. de Chile,Chile
4839,2010,Uruguay,Diego Godín,Villarreal,España
4840,2010,Uruguay,Martín Cáceres,Juventus,Italia
4841,2010,Uruguay,Jorge Fucile,FC Porto,Portugal
4842,2010,Uruguay,Maxi Pereira,Benfica,Portugal
4843,2010,Uruguay,Alvaro Pereira,FC Porto,Portugal
4844,2010,Uruguay,Walter Gargano,Napoli,Italia
4845,2010,Uruguay,E.  Arévalo Ríos,Peñarol,Uruguay
4846,2010,Uruguay,Sebastián Eguren,AIK Solna,Suecia
4847,2010,Uruguay,Diego Pérez,Monaco,Francia
4848,2010,Uruguay,Jorge Rodríguez,River Plate,Argentina
4849,2010,Uruguay,Álvaro González,Lazio,Italia
4850,2010,Uruguay,Alvaro Fernández,Nacional,Uruguay
4851,2010,Uruguay,Jorge Martínez,Catania,Italia
4852,2010,Uruguay,Cristian Rodríguez,FC Porto,Portugal
4853,2010,Uruguay,Ignacio González,Levadiakos,Grecia
4854,2010,Uruguay,Nicolás Lodeiro,Ajax,Paises Bajos
4855,2010,Uruguay,Gastón Ramírez,Bologna,Italia
4856,2010,Uruguay,Diego Forlán,Atlético,España
4857,2010,Uruguay,Sebastián Abreu,Botafogo,Brasil
4858,2010,Uruguay,Luis Suárez,Ajax,Paises Bajos
